TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-15 19:03:06,1768503786400,url-shortner-ruby-beta.vercel.app/,GET,,500,xrtn6-1768503784831-5e9359df1402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/,url-shortner-ruby-beta.vercel.app,url-shortner-ruby-beta.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,,,,,"[dotenv@17.2.3] injecting env (0) from .env -- tip: 🔄 add secrets lifecycle management: https://dotenvx.com/ops
TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError
    at name (/var/task/node_modules/path-to-regexp/dist/index.js:73:19)
    at lexer (/var/task/node_modules/path-to-regexp/dist/index.js:91:27)
    at lexer.next (<anonymous>)
    at Iter.peek (/var/task/node_modules/path-to-regexp/dist/index.js:106:38)
    at Iter.tryConsume (/var/task/node_modules/path-to-regexp/dist/index.js:112:28)
    at Iter.text (/var/task/node_modules/path-to-regexp/dist/index.js:128:30)
    at consume (/var/task/node_modules/path-to-regexp/dist/index.js:152:29)
    at parse (/var/task/node_modules/path-to-regexp/dist/index.js:183:20)
    at /var/task/node_modules/path-to-regexp/dist/index.js:294:74
    at Array.map (<anonymous>)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,,,
2026-01-15 19:03:04,1768503784831,url-shortner-ruby-beta.vercel.app/,GET,,500,xrtn6-1768503784831-5e9359df1402,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/index.js,url-shortner-ruby-beta.vercel.app,url-shortner-ruby-beta.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,981,iad1,-1,2048,,prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,01KF1GMDXS3RDHTRXCBRC9B5MD,,-1
2026-01-15 19:02:55,1768503775337,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,qtf5f-1768503774436-e71450638137,vercel-favicon/1.0,error,production,main,MISS,serverless,/favicon.png,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,,,,,"[dotenv@17.2.3] injecting env (0) from .env -- tip: 🔑 add access controls to secrets: https://dotenvx.com/ops
TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError
    at name (/var/task/node_modules/path-to-regexp/dist/index.js:73:19)
    at lexer (/var/task/node_modules/path-to-regexp/dist/index.js:91:27)
    at lexer.next (<anonymous>)
    at Iter.peek (/var/task/node_modules/path-to-regexp/dist/index.js:106:38)
    at Iter.tryConsume (/var/task/node_modules/path-to-regexp/dist/index.js:112:28)
    at Iter.text (/var/task/node_modules/path-to-regexp/dist/index.js:128:30)
    at consume (/var/task/node_modules/path-to-regexp/dist/index.js:152:29)
    at parse (/var/task/node_modules/path-to-regexp/dist/index.js:183:20)
    at /var/task/node_modules/path-to-regexp/dist/index.js:294:74
    at Array.map (<anonymous>)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,,,
2026-01-15 19:02:54,1768503774436,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,qtf5f-1768503774436-e71450638137,vercel-favicon/1.0,,production,main,MISS,serverless,/index.js,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,849,iad1,-1,2048,,prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,01KF1GM389M991HNAZ3WDV3454,,-1
2026-01-15 19:02:52,1768503772391,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,88js5-1768503771438-71365f27092a,vercel-favicon/1.0,error,production,main,MISS,serverless,/favicon.png,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,,,,,"[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  override existing env vars with { override: true }
TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError
    at name (/var/task/node_modules/path-to-regexp/dist/index.js:73:19)
    at lexer (/var/task/node_modules/path-to-regexp/dist/index.js:91:27)
    at lexer.next (<anonymous>)
    at Iter.peek (/var/task/node_modules/path-to-regexp/dist/index.js:106:38)
    at Iter.tryConsume (/var/task/node_modules/path-to-regexp/dist/index.js:112:28)
    at Iter.text (/var/task/node_modules/path-to-regexp/dist/index.js:128:30)
    at consume (/var/task/node_modules/path-to-regexp/dist/index.js:152:29)
    at parse (/var/task/node_modules/path-to-regexp/dist/index.js:183:20)
    at /var/task/node_modules/path-to-regexp/dist/index.js:294:74
    at Array.map (<anonymous>)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,,,
2026-01-15 19:02:51,1768503771438,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,88js5-1768503771438-71365f27092a,vercel-favicon/1.0,,production,main,MISS,serverless,/index.js,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,901,iad1,-1,2048,,prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,01KF1GM0AK6MZ13ZKYZ4ZHQ703,,-1
2026-01-15 19:02:50,1768503770343,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,zw2nm-1768503769411-02947b87eedf,vercel-favicon/1.0,error,production,main,MISS,serverless,/favicon.png,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,,,,,"[dotenv@17.2.3] injecting env (0) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError
    at name (/var/task/node_modules/path-to-regexp/dist/index.js:73:19)
    at lexer (/var/task/node_modules/path-to-regexp/dist/index.js:91:27)
    at lexer.next (<anonymous>)
    at Iter.peek (/var/task/node_modules/path-to-regexp/dist/index.js:106:38)
    at Iter.tryConsume (/var/task/node_modules/path-to-regexp/dist/index.js:112:28)
    at Iter.text (/var/task/node_modules/path-to-regexp/dist/index.js:128:30)
    at consume (/var/task/node_modules/path-to-regexp/dist/index.js:152:29)
    at parse (/var/task/node_modules/path-to-regexp/dist/index.js:183:20)
    at /var/task/node_modules/path-to-regexp/dist/index.js:294:74
    at Array.map (<anonymous>)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,,,
2026-01-15 19:02:49,1768503769411,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.png,GET,,500,zw2nm-1768503769411-02947b87eedf,vercel-favicon/1.0,,production,main,MISS,serverless,/index.js,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,879,iad1,-1,2048,,prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,01KF1GKYB8H0YRCBS9T0WQGEVC,,-1
2026-01-15 19:02:49,1768503769378,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.ico,GET,,500,nhgtz-1768503768441-9dac950e2d7a,vercel-favicon/1.0,error,production,main,MISS,serverless,/favicon.ico,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,,,,,"[dotenv@17.2.3] injecting env (0) from .env -- tip: 🗂️ backup and recover secrets: https://dotenvx.com/ops
TypeError: Missing parameter name at 1: https://git.new/pathToRegexpError
    at name (/var/task/node_modules/path-to-regexp/dist/index.js:73:19)
    at lexer (/var/task/node_modules/path-to-regexp/dist/index.js:91:27)
    at lexer.next (<anonymous>)
    at Iter.peek (/var/task/node_modules/path-to-regexp/dist/index.js:106:38)
    at Iter.tryConsume (/var/task/node_modules/path-to-regexp/dist/index.js:112:28)
    at Iter.text (/var/task/node_modules/path-to-regexp/dist/index.js:128:30)
    at consume (/var/task/node_modules/path-to-regexp/dist/index.js:152:29)
    at parse (/var/task/node_modules/path-to-regexp/dist/index.js:183:20)
    at /var/task/node_modules/path-to-regexp/dist/index.js:294:74
    at Array.map (<anonymous>)
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,,,
2026-01-15 19:02:48,1768503768441,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app/favicon.ico,GET,,500,nhgtz-1768503768441-9dac950e2d7a,vercel-favicon/1.0,,production,main,MISS,serverless,/index.js,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,url-shortner-nn0gi19d3-rishi17p-9022s-projects.vercel.app,dpl_FCRSL2nLDmUjZZQT5mn5juKVgyDw,882,iad1,-1,2048,,prj_cBNmhf88X78ZbGcrhu1TmwnTJBLn,,,01KF1GKXD1HRDASFR4C7DRZXQT,,-1
